baumart,hoehe_m,bhd_cm,abteilung,standort,alter_jahre,datum_aufnahme
Kiefer,16.3,18.1,B1,West,52,2022-06-02
Laerche,21.7,28.1,A2,Sued,48,2022-10-22
Fichte,28.3,33.0,A1,Ost,55,2022-07-19
Kiefer,22.9,25.3,C1,Sued,53,2023-05-02
Kiefer,24.1,30.5,C2,Sued,41,2024-04-10
Fichte,29.7,31.0,A1,West,57,2022-08-23
Tanne,13.2,12.9,C2,Ost,67,2022-04-21
Tanne,26.9,27.0,B1,West,69,2023-08-24
Fichte,19.7,26.3,C1,Sued,58,2024-08-09
Douglasie,34.0,29.0,B2,Ost,59,2023-06-28
Buche,27.9,26.4,C1,Sued,70,2023-05-14
Kiefer,17.0,18.1,B1,Sued,58,2022-04-21
Buche,29.1,28.1,C2,Mitte,77,2022-04-03
Buche,29.3,27.3,A2,West,84,2024-04-12
Tanne,18.3,18.2,C1,Ost,56,2024-07-22
Buche,30.3,26.9,B1,West,84,2022-05-27
Tanne,25.1,23.7,B2,West,63,2022-06-22
Douglasie,28.1,28.2,A1,Nord,67,2023-08-06
Douglasie,28.9,24.4,B1,Ost,66,2024-07-17
Buche,38.9,35.8,B2,Nord,83,2022-04-17
Fichte,24.1,25.3,B1,West,62,2024-07-16
Eiche,12.1,8.8,B2,Ost,105,2022-06-25
Buche,23.2,20.8,A2,Nord,85,2024-05-13
Eiche,20.4,14.7,B1,Ost,109,2022-07-12
Kiefer,14.1,16.7,B1,Mitte,48,2023-10-12
Fichte,25.2,30.3,A1,West,62,2024-09-16
Fichte,26.9,31.1,A1,West,49,2023-06-18
Laerche,22.2,20.9,C2,West,48,2024-05-04
Buche,30.3,21.1,A1,Ost,83,2022-10-06
Eiche,22.2,15.7,C1,Sued,107,2024-05-16
Eiche,19.2,15.0,A2,Ost,105,2022-07-23
Laerche,30.6,36.2,B2,Nord,46,2024-05-03
Buche,36.2,27.9,A1,Nord,79,2024-04-03
Eiche,12.8,8.9,C2,West,95,2022-09-22
Eiche,15.8,12.4,A2,Ost,97,2022-05-10
Buche,27.7,23.7,A2,Sued,79,2022-05-26
Eiche,23.9,15.9,A1,Sued,109,2024-04-22
Douglasie,34.0,42.3,B1,West,60,2022-09-19
Tanne,15.4,15.4,A2,Nord,62,2023-09-01
Fichte,18.1,21.9,A2,Ost,58,2023-08-10
Eiche,19.9,15.9,A1,Ost,99,2024-09-11
Douglasie,31.7,31.5,C2,Mitte,55,2022-10-22
Douglasie,28.9,29.2,B2,Sued,69,2023-07-01
Eiche,21.1,13.2,A2,Mitte,106,2022-10-20
Eiche,24.2,17.5,C1,Nord,92,2022-09-26
Tanne,20.4,19.8,B1,Sued,64,2023-08-14
Kiefer,13.4,17.8,A2,Ost,58,2024-10-27
Fichte,21.5,,A2,Mitte,49,2023-05-19
Fichte,21.7,24.4,A2,Nord,55,2024-10-01
Douglasie,26.7,27.9,A1,Mitte,67,2022-07-24
Douglasie,35.0,36.4,B1,Sued,65,2022-06-28
Tanne,14.0,15.4,A2,Ost,67,2023-06-22
Tanne,25.7,25.5,A2,Nord,67,2022-06-24
Buche,24.0,18.1,C1,Ost,90,2023-07-13
Laerche,22.9,26.1,B2,Sued,50,2024-05-18
Tanne,25.1,23.9,C2,Mitte,61,2024-05-28
Douglasie,23.7,30.1,B1,Sued,61,2023-08-18
Tanne,22.4,25.5,B2,Nord,63,2023-04-12
Fichte,17.7,18.7,B1,Mitte,46,2024-04-28
Fichte,26.2,33.8,A2,Nord,48,2022-07-23
Douglasie,34.6,36.6,C1,Ost,63,2023-10-02
Fichte,27.6,34.7,B1,Mitte,62,2023-06-01
Tanne,22.0,21.3,A2,Ost,57,2023-08-15
Douglasie,,29.7,C2,Sued,54,2022-04-03
Fichte,23.1,26.1,C1,Sued,63,2022-04-19
Buche,10.0,8.7,B1,Nord,87,2024-05-10
Laerche,21.7,19.8,A2,Ost,65,2022-07-15
Fichte,22.6,25.8,B1,Mitte,51,2022-08-10
Tanne,18.9,22.7,C2,Sued,75,2024-10-18
Fichte,24.9,29.0,C2,Nord,48,2023-10-26
Kiefer,20.9,26.6,A1,Ost,52,2024-08-10
Tanne,23.0,21.8,A1,Ost,56,2022-07-14
Fichte,24.4,32.5,B2,Nord,63,2022-06-08
Fichte,26.1,25.0,A1,West,45,2022-08-05
Eiche,17.4,13.3,C1,Ost,105,2022-10-09
Fichte,30.4,32.7,A2,Nord,52,2022-08-14
Fichte,21.7,22.7,B2,West,58,2023-09-03
Eiche,18.4,15.2,B2,Sued,107,2024-08-06
Tanne,21.6,20.5,C1,West,55,2023-09-21
Laerche,21.4,23.4,C2,Mitte,64,2024-05-22
Fichte,20.6,21.4,A1,Sued,55,2024-10-17
Douglasie,27.5,28.4,C1,West,67,2023-06-08
Tanne,16.6,17.2,A2,Nord,65,2023-06-28
Tanne,26.4,29.1,C2,Nord,71,2023-09-24
Kiefer,20.7,23.5,A2,Sued,56,2023-10-16
Douglasie,23.5,22.6,A1,West,57,2023-04-13
Eiche,10.1,,A1,Sued,91,2023-06-26
Laerche,23.3,27.2,B1,Ost,60,2024-06-10
Tanne,22.0,20.8,C2,Mitte,71,2024-04-17
Eiche,17.1,14.3,A1,West,103,2024-04-28
Kiefer,22.7,25.3,A2,Sued,41,2022-10-27
Buche,20.2,17.1,C2,Nord,85,2023-04-04
Laerche,15.3,15.6,A1,Sued,48,2022-04-24
Laerche,30.8,37.1,B2,Ost,48,2024-08-23
Buche,39.3,40.3,B2,Mitte,86,2023-09-03
Eiche,22.2,15.8,C1,Nord,90,2023-05-06
Fichte,14.9,15.5,C1,Nord,51,2022-04-06
Buche,25.7,28.4,C1,Nord,71,2024-06-16
Laerche,28.8,32.6,A1,West,56,2022-10-14
Kiefer,,20.2,B2,Nord,50,2022-10-27
Douglasie,26.1,28.8,C1,Nord,54,2023-08-10
Kiefer,13.4,18.4,B1,Sued,57,2022-07-17
Fichte,30.2,30.0,C1,West,61,2024-09-08
Eiche,25.6,20.4,B1,Ost,99,2023-08-15
Buche,25.0,23.7,A1,West,80,2023-10-27
Buche,21.4,20.8,C1,West,84,2022-10-03
Douglasie,35.0,27.7,B2,Nord,59,2023-09-18
Buche,32.3,30.8,B1,Nord,79,2023-05-23
Kiefer,21.0,23.3,C2,West,53,2022-07-20
Eiche,19.1,15.7,B1,Nord,101,2024-10-02
Fichte,27.7,29.8,A2,Mitte,59,2023-04-13
Kiefer,21.8,27.2,B1,Mitte,42,2022-07-02
Laerche,25.4,31.7,C2,Sued,48,2024-10-14
