baumart,hoehe_m,bhd_cm,abteilung,standort,alter_jahre,datum_aufnahme
Buche,29.3,28.2,B1,Nord,73,2024-05-05
Douglasie,,29.6,C1,Nord,58,2022-10-27
Kiefer,22.0,26.4,A1,Nord,50,2023-08-16
Tanne,22.7,23.6,A1,Nord,61,2024-09-18
Fichte,31.0,26.7,A1,Nord,51,2022-08-15
Laerche,26.3,22.0,A1,Nord,53,2024-04-12
Fichte,28.2,26.7,C1,Nord,57,2024-05-08
Eiche,,14.8,C1,Nord,102,2022-07-21
Douglasie,20.5,25.3,A1,Nord,53,2024-09-16
Douglasie,22.4,23.0,A1,Nord,53,2022-10-16
Laerche,24.0,23.3,B1,Nord,46,2022-09-01
Fichte,22.8,22.9,A1,Nord,57,2022-05-09
Laerche,,26.4,A1,Nord,49,2022-09-17
Kiefer,16.7,17.8,B1,Nord,55,2022-07-20
Buche,,20.4,B1,Nord,76,2022-04-24
Fichte,31.9,38.6,A1,Nord,61,2023-05-04
Eiche,17.8,17.8,C1,Nord,107,2022-10-21
Laerche,23.9,31.1,B1,Nord,47,2022-10-09
Laerche,23.0,21.9,B1,Nord,65,2023-10-09
Douglasie,36.8,31.8,B1,Nord,59,2022-05-05
Laerche,23.1,23.9,B1,Nord,63,2024-04-17
Laerche,23.0,22.3,A1,Nord,65,2022-09-11
Douglasie,23.0,22.7,A1,Nord,62,2022-06-15
Kiefer,18.0,21.4,C1,Nord,54,2023-10-18
Eiche,,17.1,A1,Nord,94,2023-10-20
Douglasie,32.6,31.5,B1,Nord,52,2024-07-17
Fichte,27.0,32.5,C1,Nord,62,2023-07-08
Eiche,9.5,6.5,A1,Nord,102,2022-07-23
Tanne,23.6,20.2,A1,Nord,75,2023-09-14
Kiefer,11.0,13.2,A1,Nord,46,2022-06-22
Laerche,23.1,31.1,A1,Nord,54,2022-07-19
Fichte,24.6,28.6,C1,Nord,45,2023-08-17
Eiche,16.3,9.9,C1,Nord,93,2024-06-16
Eiche,23.9,17.7,B1,Nord,107,2022-08-10
Eiche,,11.6,B1,Nord,108,2023-06-22
Kiefer,19.9,23.9,B1,Nord,51,2022-05-02
Kiefer,17.0,21.9,B1,Nord,42,2022-05-11
Douglasie,36.6,37.3,B1,Nord,66,2024-09-19
Eiche,33.5,34.0,A1,Nord,90,2023-07-15
Eiche,10.2,7.7,B1,Nord,106,2024-04-22
Laerche,18.4,18.9,C1,Nord,50,2022-06-12
Fichte,24.8,24.2,B1,Nord,61,2024-09-16
Fichte,20.8,22.2,A1,Nord,57,2022-06-06
Douglasie,25.9,25.9,A1,Nord,66,2023-07-12
Buche,,31.7,C1,Nord,71,2022-10-20
Eiche,27.9,17.1,A1,Nord,103,2022-06-11
Laerche,29.8,32.5,A1,Nord,60,2023-07-14
Tanne,,23.4,A1,Nord,60,2023-06-18
Kiefer,20.7,25.7,B1,Nord,57,2023-04-05
Eiche,23.1,18.1,B1,Nord,95,2023-04-23
Laerche,23.3,25.6,B1,Nord,54,2023-09-11
Douglasie,37.3,37.5,A1,Nord,65,2024-04-26
Fichte,26.6,25.2,C1,Nord,65,2022-04-10
Laerche,22.2,26.0,A1,Nord,65,2024-06-22
Fichte,29.8,,B1,Nord,48,2023-07-04
Buche,24.8,21.0,B1,Nord,86,2022-09-11
Douglasie,21.5,21.0,C1,Nord,63,2022-05-07
Kiefer,20.3,28.6,A1,Nord,43,2024-10-12
Kiefer,12.0,13.5,C1,Nord,44,2024-05-03
Fichte,28.7,32.9,C1,Nord,53,2024-05-24
