baumart,hoehe_m,bhd_cm,abteilung,standort,alter_jahre,datum_aufnahme
Tanne,26.8,30.4,A1,Ost,57,2023-09-28
Eiche,15.2,11.8,C1,Ost,102,2024-10-21
Douglasie,29.4,36.8,A1,Ost,66,2022-04-13
Fichte,18.4,20.2,A1,Ost,51,2022-06-11
Fichte,26.9,27.1,A1,Ost,55,2023-05-27
Tanne,20.9,22.1,A1,Ost,61,2024-09-14
Kiefer,16.5,19.3,B1,Ost,42,2024-06-10
Buche,33.7,33.6,B1,Ost,84,2023-08-12
Buche,29.2,30.0,A1,Ost,85,2022-05-26
Douglasie,39.5,39.3,C1,Ost,60,2024-04-02
Douglasie,27.1,24.4,B1,Ost,65,2023-06-21
Tanne,16.6,13.8,B1,Ost,60,2024-06-15
Douglasie,22.2,22.4,C1,Ost,51,2023-05-16
Douglasie,24.0,18.9,A1,Ost,63,2022-10-17
Douglasie,26.0,23.9,A1,Ost,68,2022-10-14
Buche,25.5,23.4,A1,Ost,81,2023-04-02
Eiche,21.3,17.8,A1,Ost,107,2024-06-24
Buche,36.2,34.2,C1,Ost,90,2024-05-24
Kiefer,17.0,,A1,Ost,53,2023-08-26
Tanne,21.8,23.0,C1,Ost,73,2024-08-22
Douglasie,29.2,,C1,Ost,62,2022-08-20
Douglasie,24.2,22.2,A1,Ost,59,2024-04-16
Laerche,23.1,25.6,C1,Ost,57,2023-07-02
Laerche,22.3,25.1,B1,Ost,46,2024-08-04
Buche,37.7,33.2,B1,Ost,76,2024-07-24
Laerche,28.3,38.4,A1,Ost,60,2022-06-24
Kiefer,14.5,17.2,B1,Ost,43,2024-10-11
Eiche,17.9,16.6,C1,Ost,98,2024-06-28
Fichte,,26.1,A1,Ost,55,2024-05-21
Fichte,24.9,22.9,B1,Ost,53,2022-08-08
Fichte,28.6,32.4,C1,Ost,58,2023-05-08
Kiefer,19.4,25.4,A1,Ost,56,2022-06-24
Kiefer,21.0,25.1,B1,Ost,49,2022-07-09
Laerche,20.1,20.3,A1,Ost,65,2023-06-11
Fichte,24.6,28.1,A1,Ost,61,2024-05-25
Eiche,18.5,16.6,B1,Ost,102,2023-06-16
Eiche,25.0,20.6,C1,Ost,106,2022-09-19
Kiefer,18.8,24.3,B1,Ost,45,2023-09-11
Tanne,22.3,20.2,A1,Ost,71,2022-10-25
Eiche,23.9,21.2,A1,Ost,108,2024-07-26
Buche,30.0,24.2,B1,Ost,79,2024-09-11
Douglasie,24.9,24.5,A1,Ost,51,2024-07-19
Fichte,23.5,25.0,C1,Ost,51,2022-05-09
Laerche,25.3,31.9,C1,Ost,55,2024-08-24
Laerche,23.6,29.6,C1,Ost,57,2024-05-08
Buche,23.2,20.1,B1,Ost,77,2024-05-08
Eiche,16.8,13.1,C1,Ost,110,2024-10-14
Eiche,23.1,17.3,B1,Ost,110,2022-09-17
Buche,25.3,24.8,A1,Ost,71,2023-09-18
Fichte,22.5,24.3,A1,Ost,55,2022-06-01
Kiefer,15.9,18.7,A1,Ost,48,2023-08-07
Douglasie,36.6,37.8,A1,Ost,57,2024-04-06
Tanne,16.1,15.0,B1,Ost,66,2023-10-04
Tanne,13.4,14.3,A1,Ost,70,2022-10-07
Fichte,21.1,19.4,A1,Ost,63,2023-09-08
Laerche,26.3,33.7,C1,Ost,47,2022-06-15
Douglasie,35.1,33.2,B1,Ost,59,2022-07-06
Fichte,,21.8,B1,Ost,47,2024-06-08
Douglasie,39.2,39.0,C1,Ost,57,2024-07-12
Fichte,29.0,33.6,C1,Ost,60,2022-10-14
